timestamp,btc_price,adx_15m,dmp_15m,dmn_15m,atr_15m,volume_15m
2026-03-29T04:15:02.627422+00:00,66907.49,29.32,28.65,17.11,137.46,48.49
2026-03-29T04:30:03.173899+00:00,66816.73,36.51,26.43,22.62,137.55,62.84
2026-03-29T04:45:02.812280+00:00,66800.89,29.64,25.54,19.81,132.8,20.64
2026-03-29T05:00:04.188662+00:00,66729.35,23.47,25.59,21.49,128.9,36.6
2026-03-29T05:15:02.675054+00:00,66690.0,29.44,23.13,25.78,125.61,80.08
2026-03-29T05:30:02.986087+00:00,66635.21,26.11,21.29,26.36,126.9,148.8
2026-03-29T05:45:02.552629+00:00,66672.92,21.55,20.41,24.18,123.33,32.75
2026-03-29T06:00:04.451588+00:00,66788.72,19.56,28.69,21.53,127.94,156.81
2026-03-29T06:15:03.054695+00:00,66817.02,21.11,27.48,20.34,125.88,82.39
2026-03-29T06:30:02.666462+00:00,66701.92,21.78,24.05,25.84,133.27,191.62
2026-03-29T06:45:02.969095+00:00,66678.87,19.92,23.2,24.14,128.48,56.02
2026-03-29T07:00:04.025294+00:00,66711.34,21.75,24.17,24.35,127.28,88.72
2026-03-29T07:15:02.645717+00:00,66594.77,16.09,21.82,25.82,131.35,70.9
2026-03-29T07:30:03.101777+00:00,66678.42,13.11,21.25,24.22,129.45,170.08
2026-03-29T07:45:02.960583+00:00,66637.98,13.02,20.76,22.86,127.46,60.73
2026-03-29T08:00:03.872170+00:00,66671.01,10.48,22.92,20.96,129.03,44.4
2026-03-29T08:15:02.527727+00:00,66653.33,17.36,19.36,19.58,129.67,38.07
2026-03-29T08:30:02.936573+00:00,66680.02,15.26,18.41,19.69,126.61,46.15
2026-03-29T08:45:02.428960+00:00,66741.82,15.2,22.53,18.69,124.4,37.79
2026-03-29T09:00:04.243269+00:00,66741.35,18.33,21.79,20.75,119.26,55.06
2026-03-29T09:15:03.098081+00:00,66696.24,13.47,19.48,22.35,124.24,89.49
2026-03-29T09:30:02.781090+00:00,66673.59,10.01,19.23,21.12,121.58,36.66
2026-03-29T09:45:03.076687+00:00,66585.65,25.8,16.73,29.23,124.0,64.04
2026-03-29T10:00:03.631405+00:00,66600.01,11.35,16.21,23.35,119.84,34.85
2026-03-29T10:15:03.219687+00:00,66527.75,15.27,16.47,26.3,120.29,120.49
2026-03-29T10:30:03.135541+00:00,66465.35,15.35,13.73,28.55,120.99,110.95
2026-03-29T10:45:02.744197+00:00,66547.99,16.65,12.59,27.13,121.47,72.34
2026-03-29T11:00:04.296742+00:00,66512.55,44.37,13.42,35.35,118.51,42.09
2026-03-29T11:15:02.879912+00:00,66767.95,17.45,26.34,20.58,136.01,118.47
2026-03-29T11:30:02.543314+00:00,66834.02,21.74,25.67,19.2,132.81,68.05
2026-03-29T11:45:03.049699+00:00,66899.11,16.33,26.31,18.92,134.38,67.45
2026-03-29T12:00:04.114904+00:00,66816.3,24.29,28.16,15.77,138.29,82.69
2026-03-29T12:15:02.911576+00:00,66764.89,17.0,25.77,18.41,134.36,33.82
2026-03-29T12:30:02.649330+00:00,66781.63,22.65,24.61,18.06,131.16,54.01
2026-03-29T12:45:03.094089+00:00,66745.39,23.31,23.98,18.47,128.81,51.96
2026-03-29T13:00:03.990856+00:00,66840.03,26.37,26.99,17.02,129.9,46.07
2026-03-29T13:15:02.958208+00:00,66594.44,19.23,20.9,24.11,145.85,187.38
2026-03-29T13:30:02.472724+00:00,66628.0,21.4,18.99,25.08,145.44,67.77
2026-03-29T13:45:02.909451+00:00,66669.95,19.59,19.1,21.4,140.77,50.54
2026-03-29T14:00:03.839798+00:00,66592.73,18.82,17.88,23.24,140.69,53.88
2026-03-29T14:15:03.049460+00:00,66672.93,18.2,20.68,19.61,154.41,186.41
2026-03-29T14:30:03.096772+00:00,66538.5,14.44,18.39,18.13,155.26,54.34
2026-03-29T14:45:02.847470+00:00,66574.95,17.52,18.55,18.01,151.73,70.39
2026-03-29T15:00:04.300378+00:00,66650.0,13.07,16.03,17.47,147.01,61.75
2026-03-29T15:15:03.103406+00:00,66606.4,30.69,26.51,15.67,151.64,120.91
2026-03-29T15:30:02.985867+00:00,66428.83,15.92,17.5,21.35,165.0,125.66
2026-03-29T15:45:02.767812+00:00,66458.0,18.75,16.48,21.01,161.33,219.48
2026-03-29T16:00:04.430093+00:00,66523.01,15.61,19.08,19.28,158.42,52.21
2026-03-29T16:15:03.120940+00:00,66447.22,19.38,18.75,19.45,155.29,57.12
2026-03-29T16:30:02.948581+00:00,66617.2,12.6,21.61,16.1,160.75,77.93
2026-03-29T16:45:02.839739+00:00,66540.01,16.73,20.7,16.57,155.4,60.5
2026-03-29T17:00:04.244007+00:00,66514.86,14.89,19.88,17.71,150.29,37.01
2026-03-29T17:15:03.099784+00:00,66406.86,15.32,18.51,20.73,149.88,47.85
2026-03-29T17:30:03.126676+00:00,66249.77,12.24,16.32,28.42,158.27,168.84
2026-03-29T17:45:02.987314+00:00,66391.74,24.3,17.6,25.83,160.37,64.61
2026-03-29T18:00:03.932179+00:00,66386.07,14.25,15.63,24.95,154.81,47.86
2026-03-29T18:15:02.760250+00:00,66402.54,27.05,14.08,28.02,150.19,35.22
2026-03-29T18:30:03.421688+00:00,66397.5,17.88,15.72,24.08,146.89,36.76
2026-03-29T18:45:02.811009+00:00,66430.59,15.16,19.2,22.36,146.02,35.87
2026-03-29T19:00:04.702912+00:00,66427.27,25.08,17.6,23.93,141.01,39.57
2026-03-29T19:15:03.079983+00:00,66436.9,18.11,17.09,21.11,135.2,32.08
2026-03-29T19:30:03.141399+00:00,66421.41,14.07,18.3,20.19,130.91,116.51
2026-03-29T19:45:02.883377+00:00,66390.57,12.74,17.25,21.89,131.62,76.12
2026-03-29T20:00:04.750472+00:00,66351.23,14.31,15.54,21.44,129.63,60.97
2026-03-29T20:15:02.541936+00:00,66468.83,13.24,18.72,20.04,131.95,45.82
2026-03-29T20:30:03.267128+00:00,66712.96,18.01,31.14,16.31,146.24,156.23
2026-03-29T20:45:02.740770+00:00,66596.27,16.87,27.45,15.3,144.81,30.74
2026-03-29T21:00:04.570204+00:00,66606.13,24.43,26.5,18.61,139.01,47.27
2026-03-29T21:15:03.182529+00:00,66554.62,16.65,24.36,17.71,141.16,76.1
2026-03-29T21:30:03.232029+00:00,66645.43,21.68,22.77,18.24,140.99,38.35
2026-03-29T21:45:02.896180+00:00,66640.32,17.6,22.68,15.49,137.77,50.23
2026-03-29T22:00:04.266898+00:00,66683.32,21.13,24.42,16.19,136.17,55.42
